Name,Ort,Standort des Lagers,Betreiber,Dauer des Bestehens,Häftlingsbelegung,Unterbringung,Art der Arbeiten,Todesopfer,Rücküberstellungen,Fluchten,Zugänge aus anderen Lagern,Evakuierung,Juristische Aufarbeitung,Besonderheiten der Evakuierung,Besonderheiten des Lagers,Ende der Evakuierung,Quellen,Todesopfer/Vorkommnisse,Verlauf/Orte,Verlauf/Orte/Todesopfer,Rückstellungen,Orte,Besonderheiten,Standort,Überstellungen,Zugänge aus anderen Lager,Auflösung,Transport,Weiterer Arbeitseinsatz,Bestehen des Lagers,Betrieb des Rüstungskonzerns
Außenlager KZ Groß-Rosen,Kamenz (49).,"Tuchfabrik Nosske & Co., Herrentalstr. 9.",Elster GmbH der Daimler Benz AG.,November 1944 bis 10. März 1945.,"1.000 teils jüdische Häftlinge, alles Männer aus mehreren Ländern (20 Nationalitäten).",Herrenmühle auf zwei Etagen und Krankenstube im Ober geschoss.,Herstellung von Halbzeugen für Flugzeugteile in Produktions stätten des ehemaligen Glaswerkes Kamenz und der ehemaligen Tuchfabrik Minkwitz Kamenz.,"182–200 oder mehr, 182 namentlich nachgewiesen.",Keine.,Zehn.,Nicht bekannt.,10. März 1945.,"Im August 1945 führte die Polizei in Kamenz Ermittlungen zu den Vorgängen im Lager Herrenmühle durch. Wilhelm Wirker wurde am 29. August 1945 in Haft genommen und den sowjeti- schen Behörden übergeben. Über sein weiteres Schicksal ist nichts bekannt. Der Betriebsarzt der Daimler-Benz-Werke Kamenz, Dr. Emil Neste, wurde 1950 vom Oberlandesgericht Dresden wegen mangelhafter ärztlicher Betreuung der Häft- linge zu 15 Jahren Haft verurteilt und im Dezember 1955 nach West-Berlin entlassen. Mitte der 1960er Jahren nahm die Zentrale Stelle der Landes justizverwaltungen in Ludwigsburg Untersuchungen zum Lager Herrenmühle auf. Nach einem Rechtshilfegesuch an die DDR ermittelte die Hauptabteilung IX/11 des Ministeriums für Staatssicherheit in der DDR. Wilhelm Wirker und Johann Tanner waren nicht aufzufinden, Johann Kastner wurde aus Mangel an Beweisen freigesprochen.",,Häftlinge mussten zur Arbeit (12-Std.-Schicht) etwa vier km je Strecke durch die Stadt hin- und zurück marschieren. Die Betriebsleitung richtete in der gepachteten Herrenmühle ein betriebseigenes Krematorium ein.,16. März 1945 in Dachau. Verzeichnis der KZ-Außenlager 489,,"Eine nicht genau feststellbare Anzahl Toter und Geflüchteter, wie Berichte der Häftlinge ergaben. Auch durch amerikanische Bombardierung des Zuges waren Tote zu beklagen. Das Wachper- sonal hätte ebenfalls Leichen aus dem Zug geworfen (Circa 110 Tote).","Marsch zum etwa fünf km entlegenen Bahnhof Wiesa bei Kamenz, dann in geschlossenen Güterwaggons über Elstra, Bischofswerda – Ebersbach – Zittau nach Süden (über Prag, Budweis, KZ Mauthausen in Österreich und ins KZ Dachau) von dort auf einen Todesmarsch in die Alpen.",,,,,,,,,,,,
Außenlager KZ Flossenbürg,Königstein (50).,Niedere Kirchleite bei Königstein/Elbsandsteingebirge.,"OT-Sonderbaustab Königstein, Büro Prof. Dr. Ing. Rimpl‚ für die Mineralölbau GmbH, auf Weisung des Geilenberg-Stabes. Tarnnamen „Orion“.",15. November 1944 bis 17. März 1945.,"977 Männer aus mehreren Ländern, aus Böhlen (KZ Buchenwald (17)) wurden am 14. und 28. November 1944 in das Außenlager Königstein gebracht.","Zuerst 1. Transport im Gasthof Struppen‚ dann im von ihm aufgebauten Finnhütten – Lager auf der sogenannten „Esels“- Wiese (heute Besucherparkplatz der Festung Königstein), nach Eintreffen des 2. Transports im Barackenlager (ehemalige SS-Kasernen) im Wald westlich der B 172.490 KZ-Außenlager in Sachsen","Abbruch von fünf Häusern im Ortsteil Sand am Elbufer‚ Aufbau von Materiallagern‚ Ausbrechen von 23 Stollen in der Sandstein- wand und mit teilweise Querverbindungen, in die kombinierte DHD-Anlagen zur Erzeugung von Flugbenzin eingebaut werden sollten (Tarnname „Schwalbe II“), für das Hydrierwerk der BRABAG Magdeburg. Schwere Steinbruch- und Transportarbei- ten, schikanöses Schleppen eines schweren Steins täglich pro Häftling beim Rückmarsch ins 1,5 km entfernte Lager bergauf.",41 der nach Leitmeritz evakuierten Häftlinge. 39 wurden im Krematorium Dresden-Tolkewitz eingeäschert.,76 Häftlinge ins Stammlager Flossenbürg; 146 Häftlinge nach Bergen-Belsen; 49 Häftlinge nach Buchenwald/Ohrdruf S III; Neun Häftlinge nach Natzweiler/Offenburg; Zwei Häftlinge nach Flossenbürg/Ansbach; Zwei Häftlinge nach Flossenbürg/Dresden RB.,Sechs während der Lagerexistenz in Königstein.,,17. März 1945: 642 Häftlinge durch Bahntransport nach Leit meritz über Bad Schandau und Aussig.,"Die von der Zentralstelle Ludwigsburg begonnene Vorermittlung wurde von der Staatsanwaltschaft Essen weitergeführt, aber im August 1978 ergebnislos abgebrochen.",,,,,,,,,,,,,,,,,,
Außenlager KZ Buchenwald,Leipzig – Erla-Werke. Weitere Bezeichnungen: „Emil“ oder „Leipzig“ (53).,März – Juli/August 1943 – An der Sandgrube Leipzig-Thekla; danach bis April 1945 Werk I Leipzig-Heiterblick (Wodanstraße) und Werk III Leipzig-Abtnaundorf (Heiterblickstraße).,Westfälische Metallindustrie AG (WMI).,März 1943 bis 13. April 1945.,"Mindestens 3.500 männliche Häftlinge aus 17 europäischen Nationen, hauptsächlich aus der Sowjetunion und Polen. Verzeichnis der KZ-Außenlager 491",Barackenlager an den Einsatzwerken. Das 1943 zeitweilig bestehende Lager an der Sandgrube war etwa 1 km vom Werk I entfernt. Es wurde später zur Unterbringung ziviler Arbeitskräfte genutzt.,Herstellung und Montage von Flugzeugteilen.,"März 1943 bis Februar 1945: 38 Tote; März und April 1945: 80 Tote (überwiegend von der Evakuierung Gassen). Verbleib der Toten: Ostfriedhof Leipzig, Friedhof Leipzig- Schönefeld. April und Mai 1945: 87 Tote (Massaker von Abtnaundorf), Südfriedhof Leipzig.",Etwa 330 (nach Buchenwald).,Elf erfolgreiche Fluchten. Genaue Angaben zu Fluchtversuchen sind nicht ermittelt.,"Evakuierungstransport Außenlager Gassen (Jasien), KZ Groß- Rosen (30).",Am 13. April 1945 wurden alle männlichen KZ-Häftlinge aus den Erla-Werken (1.464 Männer) und der HASAG (83 Männer) im Lager Abtnaundorf gesammelt. Die Kolonne marschierte am Abend unter Mitnahme der marschfähigen Frauen aus dem Lager ab. Über 300 marschunfähige Häftlinge blieben im Lager zurück.,"Das Massaker von Abtnaundorf wurde von amerikanischen Journalisten dokumentiert und war Gegenstand der Beweisauf- nahme im Nürnberger Hauptkriegsverbrecherprozess. Der Personalchef der Erla-Werke und SA-Führer, Walter Wendt, wurde im Buchenwald-Prozess wegen „Mithilfe und Teilnahme an den Operationen des Buchenwald-Konzentrationslagers“ zu 15 Jahren Haft verurteilt, später auf fünf Jahre begnadigt. Wegen Festnahme von drei geflüchteten Häftlingen in Nieder bobritzsch wurden vor dem Landgericht Dresden 1948 zwei Män- ner angeklagt. Es erfolgten ein Freispruch und eine Verurteilung zu einem Jahr und sechs Monaten Haft.","Massaker von Abtnaundorf am 18. April 1945. Tatort: Außen lager Abtnaundorf der Erla-Maschinenwerk GmbH. Tatzeit: 18. April 1945, 12.30 Uhr bis circa 18.00 Uhr. Ablauf: Die 304 noch im Lager befindlichen Häftlinge wurden in eine Baracke getrieben und mussten die Fenster mit Brettern und Vorhängen verschließen. Nach erfolglosem Beschuss der Baracke legten SS-Leute Feuer und beschossen danach die Baracke weiter. Häftlinge, die aus der Baracke flüchteten, wurden ebenfalls beschossen. Anschließend zogen sich die SS-Leute zurück. Später kehrten sie und Mitglieder des Betriebsschutzes der Erla-Werke ins Lager zurück und erschossen alle Überlebenden, die sie fanden.","Mindestens 1.500 Häftlinge wurden von Leipzig in die anderen KZ-Außenlager der Erla-Maschinenwerk GmbH nach Flöha, Johanngeorgenstadt und Mülsen St. Micheln überstellt. Offenbar wurden sie in Leipzig für ihren weiteren Produktionseinsatz angelernt. Nach dem Häftlingsaufstand in Mülsen St. Micheln wurden der Lagerälteste und ein enger Vertrauter wegen ihrer Verbindung zur sowjetischen Widerstandsgruppe von der Gestapo festge- nommen. Nach kurzer Untersuchungshaft in Leipzig wurden sie zur Bunkerhaft in das KZ Flossenbürg gebracht und nahmen dort am Evakuierungsmarsch teil.",8./9. Mai 1945 Befreiung durch sowjetische Truppen am Erz gebirgskamm. Verzeichnis der KZ-Außenlager 493,,Im Verlauf des Marsches wurden täglich einzelne Häftlinge umgebracht.,"13./14. April: Leipzig – Taucha – Bennewitz – Wurzen; 14./15. April: Wurzen – Oschatz – Sieglitz; 15./16. April: Sieglitz – Merschwitz; 16./17. April: Merschwitz – Übersetzen über Elbe – Glaubitz; 17. – 20. April: Marschpause, bei der nach einem Luftangriff entflohene männliche KZ-Häftlinge durch SS, Polizei, Volkssturm und Hitlerjugend ergriffen und mindestens 86 Häftlinge ermordet wurden. 20./21. April: Marsch Glaubitz – Riesa – Salhassan; 21.–23. April: Marschpause bei Salhassan; 23. April: Marsch über Dahlen zum Steinbruch Meltewitz; 24./25. April: Marsch Meltewitz – Luppa – Mügeln. In Luppa wurde bekannt, dass am 24. April eine amerikanische Streife den örtlichen Volkssturm entwaffnet hatte. 25./26. April: Marsch Mügeln – Sandgrube Zschepplitz – Gärtitz/ Döbeln; 27. April: Marsch durch Döbeln nach Niederstriegis (Tötung von sechs Häftlingen) über Freiberg bis Hilbersdorf; 28./29. April: Marschpause in Hilbersdorf; 30. April: Marsch nach Oberbobritzsch; 1. Mai: Marsch Oberbobritzsch – Hermsdorf/Erzgebirge, wobei es wahrscheinlich vor Erreichen des Tagesziels zu einem weiteren Massaker kam. 2. Mai 1945: Nach einer Nacht im Freien mit Schneefall Verlegung der Häftlinge in Scheunen in Hermsdorf; 3. Mai: Marsch von Hermsdorf nach Hennersdorf; 4.–7. Mai: Marschpause in Sadisdorf; 7./8. Mai: Marsch Sadisdorf (26†) – Altenberg – Geising – Fürste- nau. Die Restkolonne, darunter auch Frauen, geraten am Erzge- birgskamm bei Voitsdorf (Fojtovice) in Kämpfe zwischen deutschen Truppen und der Sowjetarmee, wobei es erneut Opfer gibt. Befreite Häftlinge marschieren zum Teil noch bis Graupen (Krupka).",,,,,"Lippstadt, Hospitalstraße 46.",,,,,,,
Außenlager KZ Buchenwald,Leipzig – HASAG Frauenlager (54).,"Leipzig-Schönefeld, Hugo-Schneider-Straße (heute Permoser- straße).",Hugo Schneider Aktiengesellschaft (HASAG) Leipzig.,"9. Juni 1944 bis 14. April 1945, bis 31. August 1944 dem KZ Ravensbrück unterstellt, ab 1. September 1944 KZ Buchenwald.","5.488 Frauen insgesamt (höchste vergebene Häftlingsnummer), davon 1.952 Jüdinnen aus zehn europäischen Ländern und etwa 3.900 überwiegend politische Häftlinge aus insgesamt 20 Nationen, darunter eine Argentinierin und eine Iranerin.494 KZ-Außenlager in Sachsen",Fabrikhalle im Werksgelände und Barackenlager auf dem Sportplatz Torgauer Straße.,Munitionsproduktion.,"13, Ostfriedhof Leipzig.","Insgesamt 574, davon 82 Frauen nach Auschwitz, 308 nach Ravensbrück und 99 nach Bergen Belsen.","20, davon 13 erfolgreich, zwei ohne Erfolg.","Zugang aus Malchow (KZ Ravensbrück) (58.1). Datum des Zugangs: 2. April 1945. Stärke: 1.000 Frauen im Stammwerk der HASAG in Leipzig, weitere 1.000 im Lager Taucha (58.2.). Die Bahnverladung der Häftlinge erfolgte Ende März 1945 in Malchow. In Magdeburg geriet der Transport in einem Bom- benangriff, ohne dabei selbst getroffen zu werden. Der Zugang der 1.000 Frauen im Stammwerk ist durch eine Häftlingsliste belegt. Die überwiegend jüdischen Häftlinge waren seit ihrer Evakuierung im Januar 1945 aus Auschwitz in verschie- denen Lagern gewesen.",Am Abend des 13. April verließ die erste Kolonne (etwa 4.000 Häftlinge) unter Kommando von Lagerführer Plaul das Lager und marschierte in Richtung Osten. Eine zweite Kolonne mit etwa 1.800 Häftlingen verließ das Lager am 14. April 1945 in der gleichen Richtung. Etwa 250 Marschunfähige blieben zurück.,Im Dezember 1946 wurde die Aufseherin Ingeburg Schulz wegen Misshandlung von Häftlingen von einem französischen Militärge- richt zu fünf Jahren Gefängnis verurteilt. Die Oberaufseherin Luise Danz (Transport Malchow) wurde 1947 wegen Zugehörig- keit zu einer kriminellen Vereinigung und Häftlingsmisshandlun- gen von einem polnischen Gericht zu lebenslanger Haft verurteilt. Das Urteil wurde später auf zehn Jahre reduziert. Ein Verfahren der Staatsanwaltschaft Meiningen wegen Mordes wurde 1997 wegen des schlechten Gesundheitszustands von Luise Danz eingestellt. Im Kamienna-Prozess 1948 und im Tschenstochau- Prozess 1949 wurden ehemalige Mitarbeiter der HASAG wegen ihrer Verbrechen in den polnischen Zweigwerken verurteilt. Misshandlungen von Häftlingen in den deutschen Werken waren nicht Verfahrensgegenstand. Die Ermittlungen der Zentralen Stelle in Ludwigsburg wurden 1976 ergebnislos eingestellt. Der Verbleib des Kommandoführers Plaul konnte nicht geklärt werden.,"Die Kolonnen der Frauen aus den HASAG-Lagern Leipzig und Taucha wurden nach Nationalitäten strukturiert, so dass es keine eigenständigen Marschblöcke der Frauen aus Malchow gab.",Die weiblichen KZ-Häftlinge bei der HASAG wurden im Wesent lichen wie zivile Zwangsarbeiterinnen behandelt. Eine Gruppe ehemaliger weiblicher sowjetischer Armeeangehöriger wurde allerdings besonders schikaniert. Lagerführer Wolfgang Plaul ließ den Häftlingen relativ viel Raum für kulturelle Betätigung und überließ die Bestrafung von Häftlingen dem weiblichen Aufsichtspersonal. Im März 1945 wurden etwa 100 Frauen vom Stammwerk in das Werk Taucha versetzt. Plaul wollte damit wahrscheinlich Widerstand bei der bevorstehenden Lagerräumung verhindern.,"23. April 1945: Etwa 3.000 Frauen wurden zwischen Mühlberg und Riesa an der Elbe befreit. Die Befreiung von 347 Frauen zwischen Wurzen, Oschatz, Riesa und Dresden ist namentlich nachgewiesen. Am 7. Mai wurden die Frauen bei Goßberg von der Roten Armee befreit. Ein Teil musste offensichtlich noch bis zum 8. Mai Richtung Frauenstein/Osterzgebirge laufen. Sieben Frauen, geflohen zwischen Nossen und Goßberg, wurden in Krumm hennersdorf versteckt und befreit.",,Drei bekannte Opfer in Dörschnitz; zwei weitere nachgewiesen. Verzeichnis der KZ-Außenlager 495,"Beide Kolonnen passierten bei Wurzen die Mulde – Weitermarsch über die R6 (heute B6) durch Oschatz und parallel auf der alten Poststraße, Rast auf dem Westufer der Elbe – Elbüberquerung bei Merschwitz und Marsch bis Glaubitz. Ziel war das Kriegsgefange- nenlager in Mühlberg. Da dieses Lager überfüllt war, gab es ab 17. April eine Marschpause auf einer Wiese neben dem Männerla- ger (Erla-Werke). Über weibliche Opfer der als „Zebra-Jagd“ bezeichneten Jagd auf Häftlinge liegen keine Angaben vor. Ab 20. April 1945 Überquerung ans Westufer der Elbe, dabei Auflösung der Kolonne (54.0; 54.1) in mehrere Gruppen, die im Gebiet um Riesa im Kreis marschierten und die Elbe zum Teil mehrfach überquerten. Eine Marschkolonne (54.2.) marschierte von Riesa über Oschatz, Zschaitz, Döbeln und Nossen bis Goßberg bei Hainichen. Dort lagerten die 1.000 vorwiegend jüdischen Frauen zwischen Goßberg und Reichenbach.",,,,,,,,,,,,
Außenlager KZ Buchenwald,"Leipzig, HASAG, Männerlager (45).","Leipzig-Schönefeld, Hugo-Schneider-Straße (heute Permoserstraße).",Hugo Schneider Aktiengesellschaft (HASAG) Leipzig.,24. November 1944 bis 13. April 1945.,Insgesamt 564 Männer.,Der genaue Standort des Männerlagers ist nicht bekannt.,Sogenanntes Sprengkommando und wahrscheinlich Transport arbeiten.,"Drei, wahrscheinlich Ostfriedhof Leipzig.496 KZ-Außenlager in Sachsen",,Keine bekannt.,,Die 83 noch zum Kommando zählenden Männer wurden am 13. April 1945 in das Lager Abtnaundorf gebracht und mussten von dort am gleichen Abend den Evakuierungsmarsch antreten. Weitere Angaben sind nicht bekannt.,Zu dem Außenlager sind keine strafrechtlichen Ermittlungen bekannt.,,Die männlichen Häftlinge bildeten offenbar eine Arbeitskräfte reserve für die HASAG.,,,,,,,,,,"150 jüdische Häftlinge in November 1944 nach Colditz, 270 nichtjüdische Häftlinge im Januar und Februar 1945 nach Flößberg, weitere Einzelüberstellungen zur HASAG Altenburg und HASAG Taucha.",,,,,,
Außenlager KZ Buchenwald,Leipzig – Christian Mansfeld GmbH (26).,"Gemeinde Engelsdorf, Riesaer Straße 64.",Christian Mansfeld GmbH Leipzig.,11. Mai 1944 bis 24. November 1944.,"552 Männer (Russen, Polen, Tschechen, Franzosen, Deutsche); durchschnittlich 200 Häftlinge im Lager.","Kellergeschoss des Fabrikgebäudes, später Barackenlager im Betriebsgelände.",Geschossproduktion (Anlerntätigkeit für späteren Einsatz).,Keine.,Keine. Die Häftlinge wurden nach Abschluss der Anlernphase in das Außenlager Wansleben am See verlegt.,Keine.,,,Keine juristischen Untersuchungen bekannt.,,"Das Lager wurde unter der Bezeichnung „SS-Arbeitslager Engelsdorf“ wahrscheinlich nicht als eigenständiges Lager geführt, sondern unterstand dem Außenlagers bei den Erla-Wer- ken. Unklar ist, ob es im Lager dauernd oder nur zeitweilig eine Häftlingsverwaltung gab.",,,,,,,,,,,,,,,,
Außenlager KZ Buchenwald,Leipzig-Schönau (52) und Kommando Bernburg (9).,"Hessisch-Lichtenau, „Vereinshaus“ A.-Hitler-Straße (heute Desseler Straße), preußische Provinz Hessen-Nassau.","Dynamit Nobel Aktiengesellschaft, KZ Buchenwald.",22. August 1944 bis 13. April 1945.,502 ungarische Jüdinnen (laut Registratur) aus dem KZ Stutthof.,Barackenlager auf dem Gelände der Parkallee Schönau.,Flugzeugproduktion.,"Eine Totgeburt im Lager, die im Krematorium des Südfriedhofs eingeäschert wurde.","Drei im September 1944 (nicht in der Buchenwalder Häftlings registratur enthalten), zwei im November 1944 (zum KZ Stutt- hof), die ersetzt wurden, vier im Januar 1945 nach Bergen-Belsen ohne Ersatz.",Keine.,Aus Hessisch-Lichtenau (44).,Spätestens am 13. April 1945 wurden alle marschfähigen Frauen aus dem Lager in östliche Richtung getrieben.,Ermittlungen der Zentralen Stelle in Ludwigsburg von 1966 bis 1971 verliefen ergebnislos.,,Vom 18. Februar 1945 bis Ende März 1945 waren 180 Frauen des Kommandos zum Arbeitseinsatz in das Außenlager Bernburg (Plömnitz) (9) überstellt worden. Im Zuge der Auflösung der Außenlager wurden diese Ende März/Anfang April 1945 wieder nach Leipzig-Schönau verlegt.,Am 27. April 1945 wurden in Wurzen 403 Frauen aus Leipzig- Schönau und 521 aus Hessisch-Lichtenau von amerikanischen Truppen befreit.,,,Bennewitz – Mulde – Wurzen – Oschatz bis zur Elbe. Die Kolonne marschierte nach Wurzen zurück.,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Lengenfeld (55).,"Lengenfeld, Walkmühlenweg (heute Gedenkstätte).","„Leng-Werke“ – Reichenbacher Straße; Verlagerungsbetrieb der Junkers Flugzeug- und Motoren-Werke AG Dessau, Werk Magde- burg-Neustadt, seit August 1943 im Fabrikgebäude der Baum- wollspinnerei AG und in einer von Strafgefangenen aus Zwickau angelegten unterirdischen Stollenanlage.",10. Oktober 1944 bis 13. April 1945.,"978 männliche Häftlinge aus 15 verschiedenen Nationen, darunter 84 ungarische Juden.","Barackenlager im mit vier Wachtürmen, MG-Besatzung und elektrisch geladenem Stacheldrahtzaun versehenen Bereich des Zwangsarbeitslagers am Walkmühlenweg.",Herstellung von Einspritzpumpen für Flugzeugmotoren und Anlassern zum Starten der Triebwerke des Düsenjägers Me 262.,"Mindestens 254, davon 160 Einäscherungen und 27 Erdbestat- tungen auf dem Friedhof in Reichenbach (Grabstätte); Sammel- grab und Ehrenmal für 46 KZ-Häftlinge und sieben Zwangsarbei- ter auf dem Friedhof in Lengenfeld (1949 vier Exhumierungen).",,21 Fluchtversuche.,"47 Häftlinge am 27. März 1945 vom AL Plauen, Dr. Th. Horn (73).","744 Häftlinge wurden am 13. April 1945 bei Eintritt der Dunkel- heit evakuiert. Etwa 50 Häftlinge, die in der Nacht flohen, wurden vom Volkssturm ergriffen und zur Kolonne zurückgebracht. 14 wurden bis Schönheide erschossen.",Lagerführer SS-Sturmscharführer Albert Roller wurde 1947 im Flossenbürg-Prozess von einem amerikanischen Militärgericht zum Tode verurteilt und in Landsberg hingerichtet.,,"Am 15. April 1945 (zwei Tage nach der Evakuierung) wurde das AL niedergebrannt. Dabei flohen einige Männer aus den brennen- den Baracken, deren Verbleib unbekannt ist. Im Brandschutt wurden später wurden Skelettreste von fünf Menschen gefunden.","23. April 1945 endete der Marsch im Umfeld der Orte Tachau (Tachov), Schönwald (Lesná), Alt Zedlisch (Staré Sedlište) und Haid (Bor).Besonderheiten der Evakuierung",,"Von dem gemeinsamen Todesmarsch sind mindestens 116 Todesopfer auf sächsischem Territorium dokumentiert. Die Erschießungen wurden meist vom Lagerführer des AL Zwickau mit seinem Kommando, die vom KZ Lublin (Majdanek) nach Zwickau gekommen waren, durchgeführt. 51 Häftlinge sowie ein SS-Mann kamen bei einem Tiefflieger angriff auf böhmischem Gebiet ums Leben.","14. April 1945: Auf dem Sportplatz Schönheide wurden die Häftlinge des örtlichen Lagers, aus Zwickau (99) und Lengenfeld sowie die Frauen aus dem AL Baumwollspinnerei Plauen (72.1) gesammelt. Kranke transportfähige Häftlinge aus Lengenfeld (55) wurden ebenfalls nach Schönheide gebracht. 15. April 1945: Beim Abmarsch in Schönheide wurden 32 Häftlinge erschossen. Marsch Schönheide – Eibenstock: 23 Todes- opfer, Eibenstock – Wildenthal: 17 Todesopfer, (alle 40 in Eibenstock beigesetzt); Wildenthal – Johanngeorgenstadt: 23 Todesopfer, Übernachtung im Gebäude des geräumten Außenlagers (48). 16. April 1945: Das sächsische Gebiet wurde nach Süden verlas- sen. Vor Abmarsch wurden fünf bis zehn Häftlinge erschossen. (Massengrab für alle Opfer – heute große Grab- und Gedenk anlage). Weitermarsch an Karlsbad (Karlovy Vary) vorbei nach Tachau (Tachov). Das Stammlager Flossenbürg wurde nicht erreicht. Verzeichnis der KZ-Außenlager 499",,,,,,,,,,,,
Außenlager KZ Buchenwald,Markkleeberg (59).,"Markkleeberg, Equipagenweg.",Junkers Flugzeug- und Motorenwerke AG Dessau.,31. August 1944 bis 13. April 1945.500 KZ-Außenlager in Sachsen,"1.550 Frauen, davon 1.300 ungarische Jüdinnen, 250 Französin- nen (Politische Häftlinge).",Barackenlager.,"Fertigung von Flugzeugtriebwerken, Bauarbeiten.",Mehrere Tote.,Zwei Frauen wegen Schwangerschaft nach Bergen-Belsen.,Keine.,,13. April 1945 Marsch von circa 1.540 Frauen Markkleeberg - Stadtrand Leipzig – Bennewitz.,Keine strafrechtliche Verfolgung der Schuldigen bekannt.,"Zahlreiche Französinnen flohen von der Kolonne und gelangten über Dresden und Pirna nach Königstein, wo sie sich bis zur Befreiung am 8. Mai 1945 in einem Lager für französische Kriegsgefangene versteckten.",Am 21./22. Februar 1945 wurden die 250 französischen Frauen aus dem Buchenwalder Außenlager Abteroda wegen des Ver- dachts kollektiven Widerstands nach Markkleeberg versetzt. Sie erhielten Häftlingsnummern des Markkleeberger Lagers und wurden zu schweren Bauarbeiten eingesetzt.,Die ersten Frauen erreichten Theresienstadt am 29. April; bis 4. Mai 1945 kamen insgesamt 699 Frauen in kleineren Gruppen in Theresienstadt an.,,,Bennewitz – Wurzen – Oschatz – Staudnitz – Meißen (Elbüber- querung) – Niederau (1†) – erneut Elbüberquerung – Ockerwitz – Pesterwitz – Freital – Dippoldiswalde – Tharandt (3†) – Höcken- dorf – Ruppendorf – Reinholdshain – Niederfrauendorf und verließ Sachsen.,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Mehltheuer (60).,"Tüllfabrik Mehltheuer AG, (heute Friedensstraße).",Vogtländische Maschinenfabrik Aktiengesellschaft Plauen (VOMAG).,2. Dezember 1944 bis 16. April 1945.,"200 polnische, tschechische und deutsche Jüdinnen.",Dachraum der Tüllfabrik. Verzeichnis der KZ-Außenlager 501,"Herstellung von Panzerteilen. Die Ungarinnen arbeiteten im Waldwerk, zwischen Mehltheuer und Syrau, an der Messer- schmidt ME 109 für die PAN Werke Plauen.","Eine polnische Frau, am 1. März 1945 auf dem Friedhof Leubnitz beerdigt.",,Keine.,4. März1945 wurden 146 vorwiegend ungarische Jüdinnen aus dem Lager in Nürnberg – Siemens-Schuckertwerke AG (79) verlegt.Juristische Aufarbeitung,,,,Das Lager Mehltheuer wurde nicht evakuiert und am 16. April 1945 von amerikanischen Soldaten befreit.,,,,,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Meißen (Neu-Hirschstein) (22.2).,"Schloss Neu-Hirschstein, zwölf km elbabwärts von Meißen, am linken Elbufer‚ Tarnnamen „Haus Elbe“.",RSHA – Internierungsort für die belgische Königsfamilie und deren Personal.,7. Oktober 1943 – 31. März 1945 (Internierung vom 6. Juni 1944 – 5. März1945).,220 arbeitende Häftlinge aus den KZ Dachau und Ravensbrück sowie vom Außenlager SS-Pionier-Kaserne Dresden. Fast alle als Bauhandwerker eingesetzten Häftlinge wurden Anfang März 1944 vom Objekt abgezogen. Eine Häftlingsgruppe‚ getarnt in Uniformen der Technischen Nothilfe (TENO)‚ verblieb noch als Gärtner und Haushandwerker bis März 1945.,In Ställen und Scheunen des Schlossgutes.,"Bau-, Installations- und Malerarbeiten in den Schlossgebäuden, Möblierung der Räume, Transportarbeiten zum Heranschaffen der speziell angefertigten Möbel und Einrichtungen, Errichten der Drahtumzäunungen des Schlossgeländes und der Häftlings- unterkünfte, Bau eines Wachhauses für die SS-Wache.","Mindestens sechs bekannte im Objekt, davon vier durch Erschie- ßung.",Durch den differenzierten Ablauf der Bau- und Einrichtungs arbeiten gab es auch zeitlich und zahlenmäßig unterschiedliche Rücküberstellungen ins Hauptlager Flossenbürg‚ ins Nebenlager SS-Pionier-Kaserne Dresden und zum Waffen-SS-Truppenübungs- platz „Böhmen“ bei Beneschau‚ zu letzterem im Dezember 1943.,Vier bekannt.,,Auflösung Ende März 1945.502 KZ-Außenlager in Sachsen,"Der Hundeführer SS-Rottenführer Fritzsche wurde von einem US-Militärgericht zu 15 Jahren Haft verurteilt, weil er Geflüchtete erschoss. SS-Oberscharführer Abe erhielt für Misshandlungen von Häftlingen und Beteiligung an Erschießungen 14 Jahre Zuchthausstrafe vom Schwurgericht Amberg.",,,,,,,,,,,,,,,,,,
